epoch,epsilon,time,reward
214,0.405,1701682979.4825892,-54.85884570494864
215,0.405,1701682980.8081715,-50.6961220043573
216,0.405,1701682981.5371397,-51.592655617802684
217,0.405,1701682982.9046588,-50.16403361344539
218,0.405,1701682983.7930315,-51.462854808590045
219,0.405,1701682984.4536545,-51.586055477746626
220,0.405,1701682985.1439638,-51.22434718331771
221,0.405,1701682985.8187711,-50.71014316837845
222,0.405,1701682986.5041258,-50.25672152194209
223,0.405,1701682987.192057,-50.66045440398388
224,0.405,1701682987.930258,-51.40918222844695
225,0.405,1701682988.6259985,-52.43431411453473
226,0.405,1701682989.268883,-52.75754435107371
227,0.405,1701682989.9180048,-52.25979691876746
228,0.405,1701682990.6887388,-50.02699074074073
229,0.405,1701682991.52635,-50.46723739495799
230,0.405,1701682992.9246068,-50.88315320572674
231,0.405,1701682993.6978505,-49.83384181450363
232,0.405,1701682994.3722532,-49.75013032990973
233,0.405,1701682995.0422387,-49.039516028633656
234,0.405,1701682995.7678907,-51.39650910364145
235,0.405,1701682996.8188994,-50.971895813881105
236,0.405,1701682997.507554,-54.161599751011586
237,0.405,1701682998.1982377,-51.25481131341428
238,0.405,1701682998.8621473,-52.77426159352621
239,0.405,1701682999.5389957,-50.98882158418925
240,0.405,1701683000.3023643,-53.84568627450984
241,0.405,1701683001.101497,-50.47471521942108
242,0.405,1701683002.0254686,-52.44293572984752
243,0.405,1701683002.7293422,-50.56109516028633
244,0.405,1701683003.475829,-53.26095977279799
245,0.405,1701683004.2469454,-49.958919623404974
246,0.405,1701683004.955161,-52.794040616246484
247,0.405,1701683005.6871278,-52.58903944911298
248,0.405,1701683006.4404016,-54.29669973544981
249,0.405,1701683007.1554027,-51.243400638032995
250,0.405,1701683007.8649094,-51.03950163398693
251,0.405,1701683009.3425586,-49.829906629318366
252,0.405,1701683010.109782,-49.69690981948342
253,0.405,1701683010.7938006,-50.03221872082169
254,0.405,1701683011.4672987,-49.69188064114535
255,0.405,1701683012.1640155,-50.961617647058816
